地名,センター,燃えるごみ,プラスチック,びん・缶・ペットボトル・われもの・有害ごみ
鹿畑町,生駒管理センター,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240602 20240605 20240609 20240612 20240616 20240619 20240623 20240626 20240630 20240703 20240707 20240710 20240714 20240717 20240721 20240724 20240728 20240731 20240804 20240807 20240811 20240814 20240818 20240821 20240825 20240828 20240901 20240904 20240908 20240911 20240915 20240918 20240922 20240925 20240929 20241002 20241006 20241009 20241013 20241016 20241020 20241023 20241027 20241030 20241103 20241106 20241110 20241113 20241117 20241120 20241124 20241127 20241201 20241204 20241208 20241211 20241215 20241218 20241222 20241225 20241229 20250101 20250105 20250108 20250112 20250115 20250119 20250122 20250126 20250129 20250202 20250205 20250209 20250212 20250216 20250219 20250223 20250226 20250302 20250305 20250309 20250312 20250316 20250319 20250323 20250326 20250330,20230328 20230404 20230411 20230418 20230425 20230502 20230509 20230516 20230523 20230530 20230606 20230613 20230620 20230627 20230704 20230711 20230718 20230725 20230801 20230808 20230815 20230822 20230829 20230905 20230912 20230919 20230926 20231003 20231010 20231017 20231024 20231031 20231107 20231114 20231121 20231128 20231205 20231212 20231219 20231226 20240102 20240109 20240116 20240123 20240130 20240206 20240213 20240220 20240227 20240305 20240312 20240319 20240326,土2 土4
鹿ノ台,生駒管理センター,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240602 20240605 20240609 20240612 20240616 20240619 20240623 20240626 20240630 20240703 20240707 20240710 20240714 20240717 20240721 20240724 20240728 20240731 20240804 20240807 20240811 20240814 20240818 20240821 20240825 20240828 20240901 20240904 20240908 20240911 20240915 20240918 20240922 20240925 20240929 20241002 20241006 20241009 20241013 20241016 20241020 20241023 20241027 20241030 20241103 20241106 20241110 20241113 20241117 20241120 20241124 20241127 20241201 20241204 20241208 20241211 20241215 20241218 20241222 20241225 20241229 20250101 20250105 20250108 20250112 20250115 20250119 20250122 20250126 20250129 20250202 20250205 20250209 20250212 20250216 20250219 20250223 20250226 20250302 20250305 20250309 20250312 20250316 20250319 20250323 20250326 20250330,20230328 20230404 20230411 20230418 20230425 20230502 20230509 20230516 20230523 20230530 20230606 20230613 20230620 20230627 20230704 20230711 20230718 20230725 20230801 20230808 20230815 20230822 20230829 20230905 20230912 20230919 20230926 20231003 20231010 20231017 20231024 20231031 20231107 20231114 20231121 20231128 20231205 20231212 20231219 20231226 20240102 20240109 20240116 20240123 20240130 20240206 20240213 20240220 20240227 20240305 20240312 20240319 20240326,土2 土4
美鹿の台,生駒管理センター,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240602 20240605 20240609 20240612 20240616 20240619 20240623 20240626 20240630 20240703 20240707 20240710 20240714 20240717 20240721 20240724 20240728 20240731 20240804 20240807 20240811 20240814 20240818 20240821 20240825 20240828 20240901 20240904 20240908 20240911 20240915 20240918 20240922 20240925 20240929 20241002 20241006 20241009 20241013 20241016 20241020 20241023 20241027 20241030 20241103 20241106 20241110 20241113 20241117 20241120 20241124 20241127 20241201 20241204 20241208 20241211 20241215 20241218 20241222 20241225 20241229 20250101 20250105 20250108 20250112 20250115 20250119 20250122 20250126 20250129 20250202 20250205 20250209 20250212 20250216 20250219 20250223 20250226 20250302 20250305 20250309 20250312 20250316 20250319 20250323 20250326 20250330,20230328 20230404 20230411 20230418 20230425 20230502 20230509 20230516 20230523 20230530 20230606 20230613 20230620 20230627 20230704 20230711 20230718 20230725 20230801 20230808 20230815 20230822 20230829 20230905 20230912 20230919 20230926 20231003 20231010 20231017 20231024 20231031 20231107 20231114 20231121 20231128 20231205 20231212 20231219 20231226 20240102 20240109 20240116 20240123 20240130 20240206 20240213 20240220 20240227 20240305 20240312 20240319 20240326,土2 土4
本町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
山崎新町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
仲之町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
西旭ヶ丘,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
新旭ヶ丘,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
軽井沢町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
西菜畑町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
緑ヶ丘,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
中菜畑,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
谷田町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
東新町,生駒管理センター,20240402 20240405 20240409 20240412 20240416 20240419 20240423 20240426 20240430 20240503 20240507 20240510 20240514 20240517 20240521 20240524 20240528 20240531 20240604 20240607 20240611 20240614 20240618 20240621 20240625 20240628 20240702 20240705 20240709 20240712 20240716 20240719 20240723 20240726 20240730 20240802 20240806 20240809 20240813 20240816 20240820 20240823 20240827 20240830 20240903 20240906 20240910 20240913 20240917 20240920 20240924 20240927 20241001 20241004 20241008 20241011 20241015 20241018 20241022 20241025 20241029 20241101 20241105 20241108 20241112 20241115 20241119 20241122 20241126 20241129 20241203 20241206 20241210 20241213 20241217 20241220 20241224 20241227 20241231 20250103 20250107 20250110 20250114 20250117 20250121 20250124 20250128 20250131 20250204 20250207 20250211 20250214 20250218 20250221 20250225 20250228 20250304 20250307 20250311 20250314 20250318 20250321 20250325 20250328,20230401 20230408 20230415 20230422 20230429 20230506 20230513 20230520 20230527 20230603 20230610 20230617 20230624 20230701 20230708 20230715 20230722 20230729 20230805 20230812 20230819 20230826 20230902 20230909 20230916 20230923 20230930 20231007 20231014 20231021 20231028 20231104 20231111 20231118 20231125 20231202 20231209 20231216 20231223 20231230 20240106 20240113 20240120 20240127 20240203 20240210 20240217 20240224 20240302 20240309 20240316 20240323 20240330,木2 木4
東生駒,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,火2 火4
東生駒月見町,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,火2 火4
東菜畑,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,火2 火4
さつき台,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,火2 火4
辻町,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,金2 金4
山崎町,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,金2 金4
東旭ヶ丘,生駒管理センター,20240403 20240406 20240410 20240413 20240417 20240420 20240424 20240427 20240501 20240504 20240508 20240511 20240515 20240518 20240522 20240525 20240529 20240601 20240605 20240608 20240612 20240615 20240619 20240622 20240626 20240629 20240703 20240706 20240710 20240713 20240717 20240720 20240724 20240727 20240731 20240803 20240807 20240810 20240814 20240817 20240821 20240824 20240828 20240831 20240904 20240907 20240911 20240914 20240918 20240921 20240925 20240928 20241002 20241005 20241009 20241012 20241016 20241019 20241023 20241026 20241030 20241102 20241106 20241109 20241113 20241116 20241120 20241123 20241127 20241130 20241204 20241207 20241211 20241214 20241218 20241221 20241225 20241228 20250101 20250104 20250108 20250111 20250115 20250118 20250122 20250125 20250129 20250201 20250205 20250208 20250212 20250215 20250219 20250222 20250226 20250301 20250305 20250308 20250312 20250315 20250319 20250322 20250326 20250329,20230327 20230403 20230410 20230417 20230424 20230501 20230508 20230515 20230522 20230529 20230605 20230612 20230619 20230626 20230703 20230710 20230717 20230724 20230731 20230807 20230814 20230821 20230828 20230904 20230911 20230918 20230925 20231002 20231009 20231016 20231023 20231030 20231106 20231113 20231120 20231127 20231204 20231211 20231218 20231225 20240101 20240108 20240115 20240122 20240129 20240205 20240212 20240219 20240226 20240304 20240311 20240318 20240325,金2 金4
